Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	Svces	afcom	afcom	afcom	afcom	0	tms changes
ExB15	Food	afesec	afesec	afesec	afesec	0	TOTAL
ExB15	Food	afesec	afesec	afesec	afesec	0	to changes
ExB15	Food	afesec	afesec	afesec	afesec	0	txs changes
ExB15	Food	afesec	afesec	afesec	afesec	0	tms changes
ExB15	Mnfcs	afesec	afesec	afesec	afesec	0	TOTAL
ExB15	Mnfcs	afesec	afesec	afesec	afesec	0	to changes
ExB15	Mnfcs	afesec	afesec	afesec	afesec	0	txs changes
ExB15	Mnfcs	afesec	afesec	afesec	afesec	0	tms changes
ExB15	Svces	afesec	afesec	afesec	afesec	0	TOTAL
ExB15	Svces	afesec	afesec	afesec	afesec	0	to changes
ExB15	Svces	afesec	afesec	afesec	afesec	0	txs changes
ExB15	Svces	afesec	afesec	afesec	afesec	0	tms changes
ExB15	Food	afsec	afsec	afsec	afsec	0	TOTAL
ExB15	Food	afsec	afsec	afsec	afsec	0	to changes
ExB15	Food	afsec	afsec	afsec	afsec	0	txs changes
ExB15	Food	afsec	afsec	afsec	afsec	0	tms changes
ExB15	Mnfcs	afsec	afsec	afsec	afsec	0	TOTAL
ExB15	Mnfcs	afsec	afsec	afsec	afsec	0	to changes
ExB15	Mnfcs	afsec	afsec	afsec	afsec	0	txs changes
ExB15	Mnfcs	afsec	afsec	afsec	afsec	0	tms changes
ExB15	Svces	afsec	afsec	afsec	afsec	0	TOTAL
ExB15	Svces	afsec	afsec	afsec	afsec	0	to changes
ExB15	Svces	afsec	afsec	afsec	afsec	0	txs changes
ExB15	Svces	afsec	afsec	afsec	afsec	0	tms changes
ExB15	Food	aintsec	aintsec	aintsec	aintsec	0	TOTAL
ExB15	Food	aintsec	aintsec	aintsec	aintsec	0	to changes
ExB15	Food	aintsec	aintsec	aintsec	aintsec	0	txs changes
ExB15	Food	aintsec	aintsec	aintsec	aintsec	0	tms changes
ExB15	Mnfcs	aintsec	aintsec	aintsec	aintsec	0	TOTAL
ExB15	Mnfcs	aintsec	aintsec	aintsec	aintsec	0	to changes
ExB15	Mnfcs	aintsec	aintsec	aintsec	aintsec	0	txs changes
