Experiment	Sector	Region	Unit	pworld	pexport	pimport	Total
ExB14	Food	SSA	percent	0.225338146090508	0.0560589842498302	-0.60422956943512	-0.322832439094782
ExB14	Food	EU	percent	-0.0328072048723698	0.12837378680706	0.212403774261475	0.307970356196165
ExB14	Food	ROW	percent	0.0162478219717741	-0.0910593196749687	-0.128472819924355	-0.203284317627549
ExB14	Mnfcs	SSA	percent	0.00733894761651754	0.655236899852753	0.0389462299644947	0.701522077433765
ExB14	Mnfcs	EU	percent	-0.00202534790150821	-0.425554007291794	0.166527464985847	-0.261051890207455
ExB14	Mnfcs	ROW	percent	0.00108725682366639	0.28322097659111	-0.113229617476463	0.171078615938313
ExB14	Svces	SSA	percent	0.0151060475036502	0.274022221565247	0.00229863938875496	0.291426908457652
ExB14	Svces	EU	percent	-0.00101148465182632	-0.150995016098022	0.0234874784946442	-0.128519022255205
ExB14	Svces	ROW	percent	0.000395566807128489	0.0992602333426476	-0.0158725753426552	0.0837832248071209
ExB15	Food	SSA	percent	0.225338146090508	0.0560589842498302	-0.60422956943512	-0.322832439094782
ExB15	Food	EU	percent	-0.0328072048723698	0.12837378680706	0.212403774261475	0.307970356196165
ExB15	Food	ROW	percent	0.0162478219717741	-0.0910593196749687	-0.128472819924355	-0.203284317627549
ExB15	Mnfcs	SSA	percent	0.00733894761651754	0.655236899852753	0.0389462299644947	0.701522077433765
ExB15	Mnfcs	EU	percent	-0.00202534790150821	-0.425554007291794	0.166527464985847	-0.261051890207455
ExB15	Mnfcs	ROW	percent	0.00108725682366639	0.28322097659111	-0.113229617476463	0.171078615938313
ExB15	Svces	SSA	percent	0.0151060475036502	0.274022221565247	0.00229863938875496	0.291426908457652
ExB15	Svces	EU	percent	-0.00101148465182632	-0.150995016098022	0.0234874784946442	-0.128519022255205
ExB15	Svces	ROW	percent	0.000395566807128489	0.0992602333426476	-0.0158725753426552	0.0837832248071209
ExB14	Food	SSA	value	175.273544311523	43.6040534973145	-469.984588623047	-251.106990814209
ExB14	Food	EU	value	-884.920776367188	3462.67333984375	5729.2451171875	8306.99768066406
ExB14	Food	ROW	value	522.199279785156	-2926.61450195312	-4129.0712890625	-6533.48651123047
ExB14	Mnfcs	SSA	value	5.70841360092163	509.659332275391	30.2933330535889	545.661078929901
ExB14	Mnfcs	EU	value	-54.6304512023926	-11478.6240234375	4491.806640625	-7041.44783401489
ExB14	Mnfcs	ROW	value	34.9440498352051	9102.6220703125	-3639.16015625	5498.40596389771
ExB14	Svces	SSA	value	11.7498540878296	213.141204833984	1.78793811798096	226.678997039795
ExB14	Svces	EU	value	-27.2831478118896	-4072.84399414062	633.536376953125	-3466.59076499939
ExB14	Svces	ROW	value	12.71337890625	3190.18920898438	-510.139007568359	2692.76358032227
ExB15	Food	SSA	value	175.273544311523	43.6040534973145	-469.984588623047	-251.106990814209
ExB15	Food	EU	value	-884.920776367188	3462.67333984375	5729.2451171875	8306.99768066406
ExB15	Food	ROW	value	522.199279785156	-2926.61450195312	-4129.0712890625	-6533.48651123047
ExB15	Mnfcs	SSA	value	5.70841360092163	509.659332275391	30.2933330535889	545.661078929901
ExB15	Mnfcs	EU	value	-54.6304512023926	-11478.6240234375	4491.806640625	-7041.44783401489
ExB15	Mnfcs	ROW	value	34.9440498352051	9102.6220703125	-3639.16015625	5498.40596389771
ExB15	Svces	SSA	value	11.7498540878296	213.141204833984	1.78793811798096	226.678997039795
ExB15	Svces	EU	value	-27.2831478118896	-4072.84399414062	633.536376953125	-3466.59076499939
ExB15	Svces	ROW	value	12.71337890625	3190.18920898438	-510.139007568359	2692.76358032227
