Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	SSA	del_indtaxr	del_indtaxr	del_indtaxr	del_indtaxr	-0.000804155948571861	TOTAL
ExB14	EU	del_indtaxr	del_indtaxr	del_indtaxr	del_indtaxr	0.00224015163257718	TOTAL
ExB14	ROW	del_indtaxr	del_indtaxr	del_indtaxr	del_indtaxr	-0.00015396493836306	TOTAL
ExB14	SSA	del_taxrexp	del_taxrexp	del_taxrexp	del_taxrexp	0.000317604455631226	TOTAL
ExB14	EU	del_taxrexp	del_taxrexp	del_taxrexp	del_taxrexp	0.00164733652491122	TOTAL
ExB14	ROW	del_taxrexp	del_taxrexp	del_taxrexp	del_taxrexp	-9.23879124457017e-05	TOTAL
ExB14	SSA	del_taxrfu	del_taxrfu	del_taxrfu	del_taxrfu	0	TOTAL
ExB14	EU	del_taxrfu	del_taxrfu	del_taxrfu	del_taxrfu	0	TOTAL
ExB14	ROW	del_taxrfu	del_taxrfu	del_taxrfu	del_taxrfu	0	TOTAL
ExB14	SSA	del_taxrgc	del_taxrgc	del_taxrgc	del_taxrgc	1.24015400615463e-07	TOTAL
ExB14	EU	del_taxrgc	del_taxrgc	del_taxrgc	del_taxrgc	1.59866289095589e-07	TOTAL
ExB14	ROW	del_taxrgc	del_taxrgc	del_taxrgc	del_taxrgc	-2.64410942918403e-07	TOTAL
ExB14	SSA	del_taxric	del_taxric	del_taxric	del_taxric	-6.01993742748164e-05	TOTAL
ExB14	EU	del_taxric	del_taxric	del_taxric	del_taxric	-8.55654832321306e-07	TOTAL
ExB14	ROW	del_taxric	del_taxric	del_taxric	del_taxric	-3.14252952193783e-06	TOTAL
ExB14	SSA	del_taxrimp	del_taxrimp	del_taxrimp	del_taxrimp	-1.84709333552746e-05	TOTAL
ExB14	EU	del_taxrimp	del_taxrimp	del_taxrimp	del_taxrimp	-0.00154956162441522	TOTAL
ExB14	ROW	del_taxrimp	del_taxrimp	del_taxrimp	del_taxrimp	-2.46808267547749e-05	TOTAL
ExB14	SSA	del_taxrinc	del_taxrinc	del_taxrinc	del_taxrinc	-9.73718328189932e-10	TOTAL
ExB14	EU	del_taxrinc	del_taxrinc	del_taxrinc	del_taxrinc	1.30446417556662e-10	TOTAL
ExB14	ROW	del_taxrinc	del_taxrinc	del_taxrinc	del_taxrinc	-1.84889992205228e-10	TOTAL
ExB14	SSA	del_taxriu	del_taxriu	del_taxriu	del_taxriu	-0.000303534849081188	TOTAL
ExB14	EU	del_taxriu	del_taxriu	del_taxriu	del_taxriu	6.71266479912447e-06	TOTAL
ExB14	ROW	del_taxriu	del_taxriu	del_taxriu	del_taxriu	-2.08570272661746e-05	TOTAL
ExB14	SSA	del_taxrout	del_taxrout	del_taxrout	del_taxrout	-0.000754912209231406	TOTAL
ExB14	EU	del_taxrout	del_taxrout	del_taxrout	del_taxrout	0.00213844166137278	TOTAL
ExB14	ROW	del_taxrout	del_taxrout	del_taxrout	del_taxrout	-5.14070461576921e-06	TOTAL
ExB14	SSA	del_taxrpc	del_taxrpc	del_taxrpc	del_taxrpc	1.53042929014191e-05	TOTAL
ExB14	EU	del_taxrpc	del_taxrpc	del_taxrpc	del_taxrpc	-1.67684549978731e-06	TOTAL
ExB14	ROW	del_taxrpc	del_taxrpc	del_taxrpc	del_taxrpc	-7.4952754403057e-06	TOTAL
ExB14	SSA	del_tbal	del_tbal	del_tbal	del_tbal	23.8323764801025	TOTAL
ExB14	EU	del_tbal	del_tbal	del_tbal	del_tbal	-511.164855957031	TOTAL
ExB14	ROW	del_tbal	del_tbal	del_tbal	del_tbal	487.342071533203	TOTAL
ExB14	SSA	del_tbalry	del_tbalry	del_tbalry	del_tbalry	0.000107071100501344	TOTAL
ExB14	EU	del_tbalry	del_tbalry	del_tbalry	del_tbalry	-0.00219670822843909	TOTAL
ExB14	ROW	del_tbalry	del_tbalry	del_tbalry	del_tbalry	0.00208967505022883	TOTAL
ExB14	SSA	del_ttaxr	del_ttaxr	del_ttaxr	del_ttaxr	-0.000804156938102096	TOTAL
