"Experiment","Region","Type","Variable","GTAPVar","Description","Unit","Value","Dim1"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-0.000226844727876596,"UnskLab"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",5.8086407079827e-06,"SkLab"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-0.000328664347762242,"SkLab"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0.000133589317556471,"SkLab"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",2.72111938102171e-05,"Capital"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-0.000123066391097382,"Capital"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0.000294422294246033,"Capital"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"NatRes"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"NatRes"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"NatRes"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Land"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Land"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Land"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"UnskLab"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"UnskLab"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"UnskLab"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"SkLab"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"SkLab"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"SkLab"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Capital"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Capital"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Capital"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"NatRes"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"NatRes"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"NatRes"
"ExB14","SSA","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",-44.0350151062012,"domestic"
"ExB14","SSA","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",12.9725856781006,"imported"
"ExB14","EU","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",24.3802356719971,"domestic"
"ExB14","EU","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",131.001342773438,"imported"
"ExB14","ROW","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",-153.331481933594,"domestic"
"ExB14","ROW","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",-246.750518798828,"imported"
"ExB14","SSA","TOTAL","CNTqgr","CNTqgr","CNTqgr","CNTqgr",0.932147443294525,"domestic"
"ExB14","SSA","TOTAL","CNTqgr","CNTqgr","CNTqgr","CNTqgr",1.23589313030243,"imported"
"ExB14","EU","TOTAL","CNTqgr","CNTqgr","CNTqgr","CNTqgr",15.1153116226196,"domestic"
"ExB14","EU","TOTAL","CNTqgr","CNTqgr","CNTqgr","CNTqgr",10.8120412826538,"imported"
"ExB14","ROW","TOTAL","CNTqgr","CNTqgr","CNTqgr","CNTqgr",2.20939040184021,"domestic"
"ExB14","ROW","TOTAL","CNTqgr","CNTqgr","CNTqgr","CNTqgr",5.35759401321411,"imported"
"ExB14","SSA","TOTAL","CNTqia","CNTqia","CNTqia","CNTqia",-7.59115552902222,"domestic"
"ExB14","SSA","TOTAL","CNTqia","CNTqia","CNTqia","CNTqia",5.33009958267212,"imported"
"ExB14","EU","TOTAL","CNTqia","CNTqia","CNTqia","CNTqia",22.328634262085,"domestic"
"ExB14","EU","TOTAL","CNTqia","CNTqia","CNTqia","CNTqia",-24.9469127655029,"imported"
"ExB14","ROW","TOTAL","CNTqia","CNTqia","CNTqia","CNTqia",-26.5206890106201,"domestic"
"ExB14","ROW","TOTAL","CNTqia","CNTqia","CNTqia","CNTqia",61.5457763671875,"imported"
"ExB14","SSA","TOTAL","CNTqpr","CNTqpr","CNTqpr","CNTqpr",17.0540504455566,"domestic"
"ExB14","SSA","TOTAL","CNTqpr","CNTqpr","CNTqpr","CNTqpr",-26.1062564849854,"imported"
"ExB14","EU","TOTAL","CNTqpr","CNTqpr","CNTqpr","CNTqpr",-125.655624389648,"domestic"
"ExB14","EU","TOTAL","CNTqpr","CNTqpr","CNTqpr","CNTqpr",257.541870117188,"imported"
"ExB14","ROW","TOTAL","CNTqpr","CNTqpr","CNTqpr","CNTqpr",-31.8382873535156,"domestic"
"ExB14","ROW","TOTAL","CNTqpr","CNTqpr","CNTqpr","CNTqpr",-408.749237060547,"imported"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"output"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"output"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"output"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"primfac"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"primfac"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"primfac"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"v_added"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"v_added"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"v_added"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"ininput"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"ininput"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"ininput"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"invest"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"invest"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"invest"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"transp"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"transp"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"transp"
"ExB14","SSA","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"import"
"ExB14","EU","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"import"
"ExB14","ROW","TOTAL","CNTtechr","CNTtechr","CNTtechr","CNTtechr",0,"import"
