"Experiment","Sector","Type","Variable","GTAPVar","Description","Unit","Value","Region"
"ExB14","Food","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.212403774261475,"EU"
"ExB14","Food","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.128472819924355,"ROW"
"ExB14","Mnfcs","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.0389462299644947,"SSA"
"ExB14","Mnfcs","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.166527464985847,"EU"
"ExB14","Mnfcs","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.113229617476463,"ROW"
"ExB14","Svces","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.00229863938875496,"SSA"
"ExB14","Svces","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.0234874784946442,"EU"
"ExB14","Svces","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.0158725753426552,"ROW"
"ExB14","Food","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",262.364532470703,"SSA"
"ExB14","Food","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",6084.359375,"EU"
"ExB14","Food","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-4423.3916015625,"ROW"
"ExB14","Mnfcs","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-134.135620117188,"SSA"
"ExB14","Mnfcs","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-751.8583984375,"EU"
"ExB14","Mnfcs","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",577.35107421875,"ROW"
"ExB14","Svces","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-4.78277444839478,"SSA"
"ExB14","Svces","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",188.912384033203,"EU"
"ExB14","Svces","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-316.492523193359,"ROW"
"ExB14","Food","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.00619113631546497,"SSA"
"ExB14","Food","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",-12.6322231292725,"EU"
"ExB14","Food","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",-0.738920271396637,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.107121907174587,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",7.06133222579956,"EU"
"ExB14","Mnfcs","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.190945476293564,"ROW"
"ExB14","Svces","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.818834364414215,"SSA"
"ExB14","Svces","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",20.6862010955811,"EU"
"ExB14","Svces","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",2.75736427307129,"ROW"
"ExB14","Food","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-0.0128499567508698,"SSA"
"ExB14","Food","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",20.5717811584473,"EU"
"ExB14","Food","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-1.15579473972321,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",0.274615913629532,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-8.62226486206055,"EU"
"ExB14","Mnfcs","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",4.60260725021362,"ROW"
"ExB14","Svces","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",0.974126994609833,"SSA"
"ExB14","Svces","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-1.13747501373291,"EU"
"ExB14","Svces","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",1.91078209877014,"ROW"
"ExB14","Food","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",0.559014141559601,"SSA"
"ExB14","Food","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",-1.00961172580719,"EU"
"ExB14","Food","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",2.76917052268982,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",-8.06906318664551,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",20.2078437805176,"EU"
"ExB14","Mnfcs","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",-39.1376609802246,"ROW"
"ExB14","Svces","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",-0.0811064690351486,"SSA"
"ExB14","Svces","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",3.12896251678467,"EU"
"ExB14","Svces","TOTAL","CNTqid","CNTqid","CNTqid","CNTqid",9.84521389007568,"ROW"
"ExB14","Food","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",-0.0710878446698189,"SSA"
"ExB14","Food","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",0.665121495723724,"EU"
"ExB14","Food","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",-1.96316385269165,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",5.08504867553711,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",-23.9080696105957,"EU"
"ExB14","Mnfcs","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",61.3497924804688,"ROW"
"ExB14","Svces","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",0.316138386726379,"SSA"
"ExB14","Svces","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",-1.70397341251373,"EU"
"ExB14","Svces","TOTAL","CNTqim","CNTqim","CNTqim","CNTqim",2.15914034843445,"ROW"
"ExB14","Food","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",-3.25418519973755,"SSA"
"ExB14","Food","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",619.796020507812,"EU"
"ExB14","Food","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",1539.68005371094,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",-134.821350097656,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",1451.33605957031,"EU"
"ExB14","Mnfcs","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",-1360.61669921875,"ROW"
"ExB14","Svces","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",-16.7803649902344,"SSA"
"ExB14","Svces","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",551.86865234375,"EU"
"ExB14","Svces","TOTAL","CNTqo","CNTqo","CNTqo","CNTqo",-216.371383666992,"ROW"
"ExB14","Food","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",36.3126449584961,"SSA"
"ExB14","Food","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",-334.004028320312,"EU"
"ExB14","Food","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",63.5357398986816,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",-19.1372489929199,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",72.7233963012695,"EU"
"ExB14","Mnfcs","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",-57.6120414733887,"ROW"
"ExB14","Svces","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",-0.121347829699516,"SSA"
"ExB14","Svces","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",135.625015258789,"EU"
"ExB14","Svces","TOTAL","CNTqpd","CNTqpd","CNTqpd","CNTqpd",-37.7620582580566,"ROW"
"ExB14","Food","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",-60.6857872009277,"SSA"
"ExB14","Food","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",378.509185791016,"EU"
"ExB14","Food","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",-537.926086425781,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",30.645133972168,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",-94.0390472412109,"EU"
"ExB14","Mnfcs","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",90.5113677978516,"ROW"
"ExB14","Svces","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",3.9343855381012,"SSA"
"ExB14","Svces","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",-26.9281692504883,"EU"
"ExB14","Svces","TOTAL","CNTqpm","CNTqpm","CNTqpm","CNTqpm",38.6654930114746,"ROW"
"ExB14","Food","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"SSA"
"ExB14","Food","TOTAL","CNTtech_aint","CNTtech_aint","CNTtech_aint","CNTtech_aint",0,"EU"
